,cm,time,cv
29,150.00000000000006,3.0000000000000013,105000.0
30,155.00000000000006,3.1000000000000014,93333.33333333334
31,160.00000000000006,3.200000000000001,93333.33333333334
32,165.00000000000009,3.3000000000000016,84000.0
33,170.00000000000009,3.4000000000000017,84000.0
34,175.00000000000009,3.5000000000000018,76363.63636363637
35,180.00000000000009,3.600000000000002,84000.0
36,185.00000000000009,3.700000000000002,76363.63636363637
37,190.0000000000001,3.800000000000002,76363.63636363637
38,195.0000000000001,3.900000000000002,70000.0
39,200.00000000000009,4.000000000000002,70000.0
40,205.00000000000006,4.100000000000001,64615.38461538462
41,210.00000000000006,4.200000000000001,62222.22222222222
42,215.00000000000003,4.300000000000001,60000.0
43,220.00000000000003,4.4,56000.0
44,225.0,4.5,54193.548387096766
