,time,distance
0,0.1,840000.0
1,0.2,1050000.0
2,0.30000000000000004,840000.0
3,0.4,840000.0
4,0.5,700000.0
5,0.6,840000.0
6,0.7,840000.0
7,0.7999999999999999,933333.3333333334
8,0.8999999999999999,1200000.0
9,0.9999999999999999,840000.0
10,1.0999999999999999,840000.0
11,1.2,763636.3636363636
12,1.3,700000.0
13,1.4000000000000001,646153.8461538461
14,1.5000000000000002,600000.0
15,1.6000000000000003,646153.8461538461
16,1.7000000000000004,646153.8461538461
17,1.8000000000000005,600000.0
18,1.9000000000000006,646153.8461538461
19,2.0000000000000004,600000.0
20,2.1000000000000005,646153.8461538461
21,2.2000000000000006,560000.0
22,2.3000000000000007,466666.6666666667
23,2.400000000000001,560000.0
24,2.500000000000001,560000.0
25,2.600000000000001,494117.6470588235
26,2.700000000000001,494117.6470588235
27,2.800000000000001,525000.0
28,2.9000000000000012,560000.0
29,3.0000000000000013,381818.1818181818
30,3.1000000000000014,560000.0
31,3.2000000000000015,600000.0
32,3.3000000000000016,1050000.0
33,3.4000000000000017,442105.2631578948
34,3.5000000000000018,420000.0
35,3.600000000000002,420000.0
36,3.700000000000002,381818.1818181818
37,3.800000000000002,381818.1818181818
38,3.900000000000002,494117.6470588235
39,4.000000000000002,350000.0
40,4.100000000000001,560000.0
41,4.200000000000001,700000.0
42,4.300000000000001,700000.0
43,4.4,646153.8461538461
44,4.5,600000.0
45,4.6,700000.0
46,4.699999999999999,600000.0
47,4.799999999999999,365217.39130434784
48,4.899999999999999,336000.0
49,4.999999999999998,289655.1724137931
50,5.099999999999998,247058.82352941175
